condition,model,rule,total_responses,valid_responses,correct_responses,accuracy,validity_rate
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MP,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MT,20,20,16,0.8,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,AC,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DA,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,CONV,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,INV,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,CT,20,20,0,0.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,CMP,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DSmu,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DSmi,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MTmu,20,20,0,0.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MTmi,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MuDistOr,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MiAg,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,NSFC,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MP,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MT,20,20,19,0.95,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,AC,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DA,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,CONV,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,INV,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,CT,20,20,0,0.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,CMP,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DSmu,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DSmi,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MTmu,20,20,0,0.0,1.0
